text,fault_category,risk_level,department
换型后立体仓库刀具堵塞，班组记录里缺少完整报警截图，另有输送定位尺寸偏差的现场记录。,耗材备件问题,P1,设备保养/备件管理
点检时测试区3号线加工中心出现IO模块画面无响应，同一节点多次出现超时，报警码A228，主线节拍已经中断，当前工位无动作。,控制系统故障,P0,自动化/仪表
点检时总装线出口段焊接机状态异常，现场噪声较大，操作描述较简略，连续三次复位后又回到报警状态。,公辅系统故障,P0,公辅/设备维修
夜班冷却水系统运行日志显示联锁状态画面无响应，复位后状态又返回等待位，连续三次复位后又回到报警状态。,控制系统故障,P0,自动化工程师
装配区1号线CNC机床运行不顺，润滑点油膜偏薄，现场噪声较大，操作描述较简略。,机械故障,P2,机械维修
中班注塑区C线注塑机漏电保护保护动作频繁，同时记录到真空管路流量偏低，设备能动作但节拍明显变慢。,安全风险,P1,自动化/仪表
仓储区3号线输送线生产中记录到真空管路运行曲线异常，读数围绕设定值来回摆动，运行日志只保留了最近一次报警码。,工艺参数异常,P1,公辅/设备维修
交接班时贴标机运行日志显示视觉相机检测不到物料，线缆轻碰后数值跳变，连续三次复位后又回到报警状态。,传感器故障,P0,自动化工程师
包装区主线CNC机床生产中记录到导向轮更换后仍有偏差，表面磨痕明显，复位后状态短时正常。,耗材备件问题,P3,设备保养/备件管理
换型后总装线出口段码垛机出现接触器启动后跳闸，电压读数低于平时，报警码W133，连续三次复位后又回到报警状态。,电气故障,P0,电气维修
夜班包装区A线CNC机床状态异常，现象在低速和高速段表现不同，同批次内异常次数比平时增加。,耗材备件问题,P1,设备保养/备件管理
交接班时立体仓库供气管路水温偏高，异常不是每次启动都会出现，另有联锁开关温升伴随烟雾提示的现场记录。,公辅系统故障,P2,公辅/设备维修
B线注塑机吸盘清洁后短时恢复，复位后现场记录为：复位后状态短时正常，同批次内异常次数比平时增加。,耗材备件问题,P1,设备保养/备件管理
测试区出口段焊接机生产中记录到冷却水路点检发现轻微偏差，润滑余量下降，班组记录里缺少完整报警截图。,预防性维护,P2,机械维修
A线空压机灌装头贴标偏移，复位后现场记录为：班组记录里缺少完整报警截图，同批次内异常次数比平时增加。,质量关联异常,P1,设备保养/备件管理
现场反馈注塑区C线立体仓库导轨回零不顺，同时记录到液位控制流量偏低，低速段读数有波动，主动作仍能完成。,机械故障,P1,机械维修
早班焊接机传动轮定位后抖动，同区域另一个工位有轻微波动，另有电缆接头输出不稳定的现场记录。,机械故障,P0,机械维修
交接班时加工中心出现间歇报警S423，班组记录里缺少完整报警截图，巡检时发现趋势变化，现场未出现报警保持。,质量关联异常,P2,设备保养/备件管理
换型后包装机出现间歇报警A660，现象在低速和高速段表现不同，点检记录显示轻微漂移，设备动作保持正常。,预防性维护,P3,设备保养
喷涂区入口段空压机运行不顺，当前读数仍在允许范围边缘，同区域另一个工位有轻微波动。,预防性维护,P2,公辅/设备维修
喷涂区C线输送线生产中记录到刀座跑偏，间隙读数变化，班组记录里缺少完整报警截图。,机械故障,P1,自动化工程师
开机后立体仓库出现间歇报警S794，现象在低速和高速段表现不同，班组记录为间歇性异常，暂未连续出现。,预防性维护,P3,公辅/设备维修
B线测试台称重探头信号偶发丢失，复位后现场记录为：异常不是每次启动都会出现，现象偶发，复位后可继续观察。,传感器故障,P2,质量/工艺/设备
中班注塑区A线加工中心出现接触器启动延迟，复位后仍有短时波动，报警码S836，现象偶发，复位后可继续观察。,电气故障,P2,电气维修
入口段焊接机滤芯外观破损，复位后现场记录为：复位后状态短时正常，点检记录显示轻微漂移，设备动作保持正常。,耗材备件问题,P3,设备保养/备件管理
辅线灌装机称重探头误触发，复位后现场记录为：现场噪声较大，操作描述较简略，现象偶发，复位后可继续观察。,传感器故障,P2,自动化/仪表
喷涂区1号线测试台运行不顺，负载曲线抬高，复位后状态短时正常。,机械故障,P0,工艺/设备工程师
换型后测试区3号线包装机安全光栅人员靠近时动作未按预期停止，同时记录到模具误判增多，复位后可短时运行，十分钟内再次出现同类现象。,安全风险,P0,自动化/仪表
交接班时注塑区A线灌装机状态异常，现场噪声较大，操作描述较简略，同批次内异常次数比平时增加。,公辅系统故障,P1,工艺/设备工程师
C线CNC机床冷却水泵支路供给不稳定，复位后现场记录为：复位后状态短时正常，主线节拍已经中断，当前工位无动作。,公辅系统故障,P0,公辅/设备维修
测试区B线焊接机生产中记录到接近开关零点漂移，低速段读数较稳定，同区域另一个工位有轻微波动。,传感器故障,P2,自动化工程师
早班机加工区2号线加工中心出现轴套磨损加快，表面磨痕明显，报警码A625，点检记录显示轻微漂移，设备动作保持正常。,耗材备件问题,P3,质量/工艺/设备
夜班测试区1号线灌装机伺服驱动电流波动，同时记录到配方下发程序步停在中间，只在换型后短时间出现，稳定后波动减小。,电气故障,P1,电气维修
中班码垛机焊点外观不良增加，运行日志只保留了最近一次报警码，另有真空泵支路供给不稳定的现场记录。,质量关联异常,P1,机械维修
1号线包装机防护罩人员靠近时动作未按预期停止，复位后现场记录为：异常不是每次启动都会出现，设备能动作但节拍明显变慢。,安全风险,P1,电气维修
注塑区入口段机器人工作站生产中记录到供气管路排风变弱，水温回落速度变慢，异常不是每次启动都会出现。,公辅系统故障,P2,工艺/设备工程师
中班空压机出现间歇报警W458，同区域另一个工位有轻微波动，只在换型后短时间出现，稳定后波动减小。,机械故障,P2,设备保养/备件管理
早班总装线出口段焊接机巡检记录清洁后状态恢复，同时记录到联锁开关温升伴随烟雾提示，点检记录显示轻微漂移，设备动作保持正常。,预防性维护,P3,设备保养/备件管理
注塑区A线清洗机生产中记录到夹具定位误判增多，定位基准重复性变差，现场噪声较大，操作描述较简略。,质量关联异常,P2,工艺/设备工程师
现场反馈冷却水系统出现间歇报警A862，现象在低速和高速段表现不同，点检记录显示轻微漂移，设备动作保持正常。,耗材备件问题,P2,质量/工艺/设备
注塑区3号线灌装机报警A666，复位后状态又返回等待位；旁路记录显示流量计流量偏低。,控制系统故障,P2,自动化/仪表
交接班时清洗机控制柜点检发现轻微偏差，同区域另一个工位有轻微波动，另有尺寸检测定位偏差的现场记录。,预防性维护,P2,设备保养
夜班贴标机出现间歇报警A559，异常不是每次启动都会出现，低速段读数有波动，主动作仍能完成。,机械故障,P2,设备保养/备件管理
C线包装机皮带振动偏大，复位后现场记录为：现场噪声较大，操作描述较简略，班组记录为间歇性异常，暂未连续出现。,机械故障,P2,机械维修
换型后立体仓库刀座动作不连贯，现场噪声较大，操作描述较简略，另有风机清洁后状态恢复的现场记录。,机械故障,P2,机械维修
交接班时站房3号线机器人工作站出现称重模块尺寸偏差，定位基准重复性变差，报警码S802，连续三次复位后又回到报警状态。,质量关联异常,P0,质量/工艺/设备
早班清洗段3号线灌装机加热模块电流波动，同时记录到机器人控制柜通讯间歇中断，复位后可短时运行，十分钟内再次出现同类现象。,电气故障,P1,电气维修
夜班装配区出口段CNC机床导轨低速拖滞，同时记录到高温部位防护状态不稳定，班组记录为间歇性异常，暂未连续出现。,机械故障,P1,机械维修
辅线输送线通讯模块程序步停在中间，复位后现场记录为：同区域另一个工位有轻微波动，主线节拍已经中断，当前工位无动作。,控制系统故障,P0,自动化工程师
仓储区1号线机器人工作站报警S169，管路末端压差升高；旁路记录显示传动轮间歇卡滞。,公辅系统故障,P0,工艺/设备工程师
交接班时机器人工作站运行日志显示供电支路泵体报警，管路末端压差升高，保护动作保持，手动模式也无法完成一个循环。,公辅系统故障,P0,工艺/设备工程师
站房出口段焊接机生产中记录到润滑油消耗量异常，同批物料消耗比平时高，异常不是每次启动都会出现。,耗材备件问题,P3,设备保养/备件管理
中班注塑区1号线注塑机出现滚筒动作不连贯，运行声音比平时尖锐，报警码A357，现象偶发，复位后可继续观察。,机械故障,P2,机械维修
交接班时喷涂区主线码垛机编码器信号偶发丢失，同时记录到吸盘密封效果下降，班组记录为间歇性异常，暂未连续出现。,传感器故障,P2,自动化/仪表
夜班空压机运行日志显示急停回路温升伴随烟雾提示，门开合后信号保持时间异常，当前只允许低速运行，高速段会再次报警。,安全风险,P1,安全/EHS
机加工区3号线CNC机床生产中记录到伺服控制器通讯间歇中断，日志中出现站点掉线记录，复位后状态短时正常。,控制系统故障,P0,安全/EHS
夜班灌装机运行日志显示夹具跑偏，负载曲线抬高，低速段读数有波动，主动作仍能完成。,机械故障,P2,质量/工艺/设备
连续运行后码垛机运行日志显示张力控制升温变慢，环境温度变化后波动增大，设备能动作但节拍明显变慢。,工艺参数异常,P1,工艺/设备工程师
换型后输送线运行日志显示真空泵水温偏高，管路末端压差升高，主线节拍已经中断，当前工位无动作。,公辅系统故障,P0,工艺/设备工程师
仓储区出口段测试台运行不顺，称重结果离散度升高，现象在低速和高速段表现不同。,质量关联异常,P0,机械维修
夜班冷却水系统出现间歇报警W195，现场噪声较大，操作描述较简略，现象偶发，复位后可继续观察。,预防性维护,P2,设备保养/备件管理
早班测试台记录到视觉检测误判增多，保护动作保持，手动模式也无法完成一个循环。,质量关联异常,P0,机械维修
巡检时注塑区1号线机器人工作站出现点检项点检发现轻微偏差，润滑余量下降，报警码S276，巡检时发现趋势变化，现场未出现报警保持。,预防性维护,P3,设备保养/备件管理
连续运行后输送线供气管路支路供给不稳定，运行日志只保留了最近一次报警码，另有安全门现场有异味的现场记录。,公辅系统故障,P0,电气维修
连续运行后贴标机出现间歇报警W723，现场噪声较大，操作描述较简略，设备保持联锁，启动条件未满足。,安全风险,P1,自动化/仪表
包装区主线输送线运行不顺，间隙读数变化，班组记录里缺少完整报警截图。,机械故障,P1,机械维修
测试区3号线加工中心运行不顺，润滑余量下降，现象在低速和高速段表现不同。,预防性维护,P3,公辅/设备维修
开机后装配区入口段包装机断路器运行中断开，报警码S839，设备能动作但节拍明显变慢。,电气故障,P1,电气维修
中班机加工区1号线清洗机视觉相机信号偶发丢失，同时记录到模具贴标偏移，当前只允许低速运行，高速段会再次报警。,传感器故障,P2,自动化/仪表
2号线机器人工作站加热区批次切换后不稳定，复位后现场记录为：现象在低速和高速段表现不同，只在换型后短时间出现，稳定后波动减小。,工艺参数异常,P2,电气维修
换型后包装区3号线CNC机床电缆接头电流波动，报警码A191，主线节拍已经中断，当前工位无动作。,电气故障,P0,电气维修
注塑区1号线清洗机运行不顺，滤网压差缓慢上升，异常不是每次启动都会出现。,预防性维护,P2,设备保养
喷涂区入口段加工中心生产中记录到控制柜偶发失电，端子温度偏高，异常不是每次启动都会出现。,电气故障,P0,电气维修
入口段焊接机流量计真空度上不去，复位后现场记录为：运行日志只保留了最近一次报警码，保护动作保持，手动模式也无法完成一个循环。,工艺参数异常,P0,公辅/设备维修
连续运行后CNC机床记录到点检项运行小时数接近阈值，清洁后数值回到正常范围边缘。,预防性维护,P2,设备保养
连续运行后测试区主线测试台出现水温控制阀门动作迟缓，水温回落速度变慢，报警码S235，保护动作保持，手动模式也无法完成一个循环。,公辅系统故障,P0,电气维修
主线加工中心换热器水温偏高，复位后现场记录为：现场噪声较大，操作描述较简略，设备保持联锁，启动条件未满足。,公辅系统故障,P0,工艺/设备工程师
换型后机加工区C线冷却水系统编码器到位信号不一致，报警码A518，主线节拍已经中断，当前工位无动作。,传感器故障,P0,安全/EHS
C线码垛机阀组供气不足，复位后现场记录为：运行日志只保留了最近一次报警码，主线节拍已经中断，当前工位无动作。,公辅系统故障,P0,公辅/设备维修
站房C线输送线运行不顺，同一批次读数差异变大，现场噪声较大，操作描述较简略。,传感器故障,P2,自动化工程师
换型后立体仓库出现间歇报警E831，同区域另一个工位有轻微波动，设备保持联锁，启动条件未满足。,质量关联异常,P0,质量/工艺/设备
交接班时喷涂区出口段灌装机出现冷却水路清洁后状态恢复，运行声音比上周略大，报警码E263，当前读数接近维护阈值，生产节拍保持稳定。,预防性维护,P3,公辅/设备维修
C线清洗机烟雾检测保护动作频繁，复位后现场记录为：班组记录里缺少完整报警截图，连续三次复位后又回到报警状态。,安全风险,P0,安全/EHS
机加工区3号线灌装机生产中记录到换热器管路压差变大，水温回落速度变慢，异常不是每次启动都会出现。,公辅系统故障,P1,公辅/设备维修
站房1号线立体仓库生产中记录到端子排输出不稳定，驱动面板出现报警码，异常不是每次启动都会出现。,电气故障,P2,自动化工程师
B线CNC机床排风系统支路供给不稳定，复位后现场记录为：复位后状态短时正常，班组记录为间歇性异常，暂未连续出现。,公辅系统故障,P2,公辅/设备维修
开机后喷涂区A线机器人工作站出现接近开关零点漂移，低速段读数较稳定，报警码S881，当前只允许低速运行，高速段会再次报警。,传感器故障,P1,电气维修
站房入口段空压机报警W163，运行声音比上周略大；旁路记录显示高温部位温升伴随烟雾提示。,预防性维护,P3,机械维修
总装线入口段测试台报警A376，报警声光提示不完整；旁路记录显示吸盘密封效果下降。,安全风险,P0,机械维修
现场反馈贴标机扫码头到位信号不一致，复位后状态短时正常，另有视觉检测误判增多的现场记录。,传感器故障,P1,自动化/仪表
1号线贴标机漏电保护现场有异味，复位后现场记录为：复位后状态短时正常，设备保持联锁，启动条件未满足。,安全风险,P0,自动化工程师
站房1号线清洗机生产中记录到液位计显示值跳动，同一批次读数差异变大，复位后状态短时正常。,传感器故障,P1,自动化/仪表
清洗段1号线码垛机报警S625，阀位开度变化频繁；旁路记录显示刀具消耗量异常。,工艺参数异常,P0,工艺/设备工程师
测试区A线空压机报警E586，曲线和上批次不同；旁路记录显示导轨运行小时数接近阈值。,工艺参数异常,P1,公辅/设备维修
仓储区A线冷却水系统运行不顺，环境温度变化后波动增大，现场噪声较大，操作描述较简略。,工艺参数异常,P1,工艺/设备工程师
巡检时机加工区辅线贴标机出现流量计流量偏低，读数围绕设定值来回摆动，报警码W654，现象偶发，复位后可继续观察。,工艺参数异常,P2,工艺/设备工程师
总装线入口段焊接机生产中记录到速度设定升温变慢，阀位开度变化频繁，同区域另一个工位有轻微波动。,工艺参数异常,P2,电气维修
中班空压机出现间歇报警W592，同区域另一个工位有轻微波动，主线节拍已经中断，当前工位无动作。,工艺参数异常,P0,工艺/设备工程师
B线空压机接近开关到位信号不一致，复位后现场记录为：复位后状态短时正常，现象偶发，复位后可继续观察。,传感器故障,P2,安全/EHS
中班输送线运行日志显示张力控制温度波动，阀位开度变化频繁，同批次内异常次数比平时增加。,工艺参数异常,P1,工艺/设备工程师
